origin,destination,year,month,revenue,number_trips,load_factor,distance,rpks,asks,seats,passengers
ABX,SYD,2015,1,"15,445",406,63.7,452,"6,981,140","10,961,904","24,252",15448.524
ABX,SYD,2015,2,"15,343",456,59.2,452,"6,935,036","11,723,072","25,936",15354.112
ABX,SYD,2015,3,"19,496",532,65.9,452,"8,812,192","13,379,200","29,600",19506.4
ABX,SYD,2015,4,"17,562",478,65,452,"7,938,024","12,216,204","27,027",17567.55
ABX,SYD,2015,5,"18,207",529,62.6,452,"8,229,564","13,136,024","29,062",18192.812
ABX,SYD,2015,6,"17,267",500,62.9,452,"7,804,684","12,414,180","27,465",17275.485
ABX,SYD,2015,7,"19,084",542,64.6,452,"8,625,968","13,353,888","29,544",19085.424
ABX,SYD,2015,8,"19,722",533,67.1,452,"8,914,344","13,279,760","29,380",19713.98
ABX,SYD,2015,9,"18,471",524,63.9,452,"8,348,892","13,057,376","28,888",18459.432
ABX,SYD,2015,10,"19,489",531,66.4,452,"8,809,028","13,257,612","29,331",19475.784
ABX,SYD,2015,11,"18,864",508,67.2,452,"8,526,528","12,688,544","28,072",18864.384
ABX,SYD,2015,12,"18,015",470,66.8,452,"8,142,780","12,196,316","26,983",18024.644
ABX,SYD,2016,1,"16,007",387,67,452,"7,235,164","10,795,568","23,884",16002.28
ABX,SYD,2016,2,"16,461",487,61,452,"7,440,372","12,203,548","26,999",16469.39
ABX,SYD,2016,3,"19,486",519,67.5,452,"8,807,672","13,056,020","28,885",19497.375
ABX,SYD,2016,4,"19,155",522,66.1,452,"8,658,060","13,103,028","28,989",19161.729
ABX,SYD,2016,5,"19,278",561,63.8,452,"8,713,656","13,657,632","30,216",19277.808
ABX,SYD,2016,6,"17,766",529,61.7,452,"8,030,232","13,020,312","28,806",17773.302
ABX,SYD,2016,7,"19,599",548,66.8,452,"8,858,748","13,268,460","29,355",19609.14
ABX,SYD,2016,8,"20,126",574,65.3,452,"9,096,952","13,923,408","30,804",20115.012
ABX,SYD,2016,9,"20,218",549,68.1,452,"9,138,536","13,417,168","29,684",20214.804
ABX,SYD,2016,10,"19,717",547,66.3,452,"8,912,084","13,450,164","29,757",19728.891
ABX,SYD,2016,11,"19,110",540,66,452,"8,637,720","13,079,524","28,937",19098.42
ABX,SYD,2016,12,"18,219",510,63.1,452,"8,234,988","13,051,952","28,876",18220.756
ABX,SYD,2017,1,"15,267",422,59.2,452,"6,900,684","11,652,560","25,780",15261.76
ABX,SYD,2017,2,"15,202",490,56.9,452,"6,871,304","12,084,220","26,735",15212.215
ABX,SYD,2017,3,"20,072",560,65.8,452,"9,072,544","13,782,384","30,492",20063.736
ABX,SYD,2017,4,"19,438",506,69.2,452,"8,785,976","12,697,584","28,092",19439.664
ABX,SYD,2017,5,"19,325",544,65.2,452,"8,734,900","13,405,416","29,658",19337.016
ABX,SYD,2017,6,"18,132",501,65.3,452,"8,195,664","12,554,752","27,776",18137.728
ABX,SYD,2017,7,"20,380",537,69.4,452,"9,211,760","13,269,816","29,358",20374.452
ABX,SYD,2017,8,"20,164",561,66.2,452,"9,114,128","13,772,892","30,471",20171.802
ABX,SYD,2017,9,"19,604",498,73.4,452,"8,861,008","12,072,016","26,708",19603.672
ABX,SYD,2017,10,"19,738",495,74.5,452,"8,921,576","11,980,712","26,506",19746.97
ABX,SYD,2017,11,"19,175",500,71.2,452,"8,667,100","12,170,100","26,925",19170.6
ABX,SYD,2017,12,"17,528",440,70.6,452,"7,922,656","11,227,228","24,839",17536.334
ABX,SYD,2018,1,"15,532",378,69.6,452,"7,020,464","10,083,216","22,308",15526.368
ABX,SYD,2018,2,"15,109",416,66.1,452,"6,829,268","10,334,980","22,865",15113.765
ABX,SYD,2018,3,"18,921",487,70.6,452,"8,552,292","12,116,312","26,806",18925.036
ABX,SYD,2018,4,"18,266",455,71.1,452,"8,256,232","11,607,360","25,680",18258.48
ABX,SYD,2018,5,"18,955",514,67.1,452,"8,567,660","12,771,712","28,256",18959.776
ABX,SYD,2018,6,"18,464",479,69.9,452,"8,345,728","11,931,896","26,398",18452.202
ABX,SYD,2018,7,"20,622",502,72.9,452,"9,321,144","12,791,600","28,300",20630.7
ABX,SYD,2018,8,"21,410",535,72.7,452,"9,677,320","13,316,824","29,462",21418.874
ABX,SYD,2018,9,"19,983",502,72.2,452,"9,032,316","12,502,772","27,661",19971.242
ABX,SYD,2018,10,"21,260",537,72.5,452,"9,609,520","13,259,872","29,336",21268.6
ABX,SYD,2018,11,"19,798",504,72.7,452,"8,948,696","12,311,576","27,238",19802.026
ABX,SYD,2018,12,"18,020",445,71.9,452,"8,145,040","11,332,544","25,072",18026.768
ABX,SYD,2019,1,"15,654",384,68.3,452,"7,075,608","10,365,716","22,933",15663.239
ABX,SYD,2019,2,"15,694",449,63.4,452,"7,093,688","11,180,220","24,735",15681.99
ABX,SYD,2019,3,"19,333",537,66.6,452,"8,738,516","13,119,752","29,026",19331.316
ABX,SYD,2019,4,"19,015",497,69.9,452,"8,594,780","12,300,276","27,213",19021.887
ABX,SYD,2019,5,"19,771",542,67.7,452,"8,936,492","13,200,208","29,204",19771.108
ABX,SYD,2019,6,"18,094",483,69.1,452,"8,178,488","11,836,524","26,187",18095.217
ABX,SYD,2019,7,"20,910",541,71.1,452,"9,451,320","13,296,032","29,416",20914.776
ABX,SYD,2019,8,"21,380",525,75,452,"9,663,760","12,892,396","28,523",21392.25
ABX,SYD,2019,9,"20,194",521,72.7,452,"9,127,688","12,556,560","27,780",20196.06
ABX,SYD,2019,10,"21,479",534,74,452,"9,708,508","13,126,080","29,040",21489.6
ABX,SYD,2019,11,"20,654",525,73.3,452,"9,335,608","12,744,140","28,195",20666.935
ABX,SYD,2019,12,"17,971",460,70.9,452,"8,122,892","11,456,844","25,347",17971.023
ABX,SYD,2020,1,"12,665",323,68.4,452,"5,724,580","8,372,396","18,523",12669.732
ABX,SYD,2020,2,"15,546",459,64.1,452,"7,026,792","10,958,740","24,245",15541.045
ABX,SYD,2020,3,"12,140",435,52.6,452,"5,487,280","10,427,188","23,069",12134.294
ABX,SYD,2020,4,314,41,16.2,452,"141,928","877,784","1,942",314.604
ABX,SYD,2020,5,416,33,23.7,452,"188,032","793,712","1,756",416.172
ADL,ASP,2015,4,"10,714",98,70.3,"1,316","14,099,624","20,042,680","15,230",10706.69
ADL,ASP,2015,5,"8,526",96,57.1,"1,316","11,220,216","19,643,932","14,927",8523.317
ADL,ASP,2015,6,"9,846",94,67.5,"1,316","12,957,336","19,184,648","14,578",9840.15
ADL,ASP,2015,7,"12,480",98,81.7,"1,316","16,423,680","20,100,584","15,274",12478.858
ADL,ASP,2015,8,"10,932",96,73.2,"1,316","14,386,512","19,661,040","14,940",10936.08
ADL,ASP,2015,9,"10,511",93,72.9,"1,316","13,832,476","18,974,088","14,418",10510.722
ADL,ASP,2015,10,"11,038",96,73.8,"1,316","14,526,008","19,692,624","14,964",11043.432
ADL,ASP,2015,11,"10,367",94,70.9,"1,316","13,642,972","19,232,024","14,614",10361.326
ADL,ASP,2015,12,"9,266",98,60.4,"1,316","12,194,056","20,172,964","15,329",9258.716
ADL,ASP,2016,1,"8,308",94,56.7,"1,316","10,933,328","19,297,824","14,664",8314.488
ADL,ASP,2016,2,"8,109",92,56.5,"1,316","10,671,444","18,871,440","14,340",8102.1
ADL,ASP,2016,3,"10,221",98,66.5,"1,316","13,450,836","20,219,024","15,364",10217.06
ADL,ASP,2016,4,"9,500",92,65.9,"1,316","12,502,000","18,958,296","14,406",9493.554
ADL,ASP,2016,5,"9,751",97,63.5,"1,316","12,832,316","20,208,496","15,356",9751.06
ADL,ASP,2016,6,"10,370",96,68.4,"1,316","13,646,920","19,963,720","15,170",10376.28
ADL,ASP,2016,7,"11,719",93,79.5,"1,316","15,422,204","19,408,368","14,748",11724.66
ADL,ASP,2016,8,"10,207",98,65.4,"1,316","13,432,412","20,537,496","15,606",10206.324
ADL,ASP,2016,9,"11,127",94,74.5,"1,316","14,643,132","19,661,040","14,940",11130.3
ADL,ASP,2016,10,"11,581",96,76,"1,316","15,240,596","20,061,104","15,244",11585.44
ADL,ASP,2016,11,"10,299",94,69,"1,316","13,553,484","19,642,616","14,926",10298.94
ADL,ASP,2016,12,"9,522",99,60.1,"1,316","12,530,952","20,858,600","15,850",9525.85
ADL,ASP,2017,1,"8,836",94,59.4,"1,316","11,628,176","19,562,340","14,865",8829.81
ADL,ASP,2017,2,"8,126",88,58.8,"1,316","10,693,816","18,179,224","13,814",8122.632
ADL,ASP,2017,3,"10,289",98,66,"1,316","13,540,324","20,501,964","15,579",10282.14
ADL,ASP,2017,4,"10,705",93,72.3,"1,316","14,087,780","19,487,328","14,808",10706.184
ADL,ASP,2017,5,"9,413",98,59.9,"1,316","12,387,508","20,663,832","15,702",9405.498
ADL,ASP,2017,6,"10,280",94,68.6,"1,316","13,528,480","19,725,524","14,989",10282.454
ADL,ASP,2017,7,"12,094",96,79,"1,316","15,915,704","20,134,800","15,300",12087
ADL,ASP,2017,8,"10,950",98,69.9,"1,316","14,410,200","20,608,560","15,660",10946.34
ADL,ASP,2017,9,"11,052",106,74.9,"1,316","14,544,432","19,407,052","14,747",11045.503
ADL,ASP,2017,10,"12,089",113,76.7,"1,316","15,909,124","20,753,320","15,770",12095.59
ADL,ASP,2017,11,"10,903",113,71.1,"1,316","14,348,348","20,172,964","15,329",10898.919
ADL,ASP,2017,12,"9,729",110,64.1,"1,316","12,803,364","19,988,724","15,189",9736.149
ADL,ASP,2018,1,"9,911",115,63.5,"1,316","13,042,876","20,551,972","15,617",9916.795
ADL,ASP,2018,2,"9,190",102,66.8,"1,316","12,094,040","18,104,212","13,757",9189.676
ADL,ASP,2018,3,"10,851",112,71,"1,316","14,279,916","20,121,640","15,290",10855.9
ADL,ASP,2018,4,"10,759",106,71.9,"1,316","14,158,844","19,680,780","14,955",10752.645
ADL,ASP,2018,5,"10,080",117,61.6,"1,316","13,265,280","21,550,816","16,376",10087.616
ADL,ASP,2018,6,"10,259",109,68.5,"1,316","13,500,844","19,721,576","14,986",10265.41
ADL,ASP,2018,7,"12,661",111,81,"1,316","16,661,876","20,567,764","15,629",12659.49
ADL,ASP,2018,8,"11,392",116,71.4,"1,316","14,991,872","21,008,624","15,964",11398.296
ADL,ASP,2018,9,"11,177",109,74,"1,316","14,708,932","19,866,336","15,096",11171.04
ADL,ASP,2018,10,"12,504",114,79.9,"1,316","16,455,264","20,604,612","15,657",12509.943
ADL,ASP,2018,11,"11,086",108,74.1,"1,316","14,589,176","19,678,148","14,953",11080.173
ADL,ASP,2018,12,"10,424",115,65.9,"1,316","13,717,984","20,812,540","15,815",10422.085
ADL,ASP,2019,1,"10,281",115,66.6,"1,316","13,529,796","20,329,568","15,448",10288.368
ADL,ASP,2019,2,"9,463",104,66.1,"1,316","12,453,308","18,829,328","14,308",9457.588
ADL,ASP,2019,3,"11,043",118,67.9,"1,316","14,532,588","21,417,900","16,275",11050.725
ADL,ASP,2019,4,"14,062",124,78.1,"1,316","18,505,592","23,680,104","17,994",14053.314
ADL,ASP,2019,5,"12,744",123,73.4,"1,316","16,771,104","22,847,076","17,361",12742.974
ADL,ASP,2019,6,"12,995",117,79.6,"1,316","17,101,420","21,488,964","16,329",12997.884
ADL,ASP,2019,7,"14,610",126,82,"1,316","19,226,760","23,435,328","17,808",14602.56
ADL,ASP,2019,8,"12,776",122,75.4,"1,316","16,813,216","22,293,040","16,940",12772.76
ADL,ASP,2019,9,"12,781",118,77.5,"1,316","16,819,796","21,708,736","16,496",12784.4
ADL,ASP,2019,10,"13,355",123,78.9,"1,316","17,575,180","22,279,880","16,930",13357.77
ADL,ASP,2019,11,"11,053",118,76.9,"1,316","14,545,748","18,918,816","14,376",11055.144
ADL,ASP,2019,12,"9,466",120,64.5,"1,316","12,457,256","19,324,144","14,684",9471.18
ADL,ASP,2020,1,"8,618",113,61.9,"1,316","11,341,288","18,335,828","13,933",8624.527
ADL,ASP,2020,2,"8,505",114,57.1,"1,316","11,192,580","19,592,608","14,888",8501.048
ADL,ASP,2020,3,"7,152",114,46.2,"1,316","9,412,032","20,388,788","15,493",7157.766
ADL,ASP,2020,5,0,0,0,"1,316",0,0,0,0
ADL,ASP,2020,6,0,0,0,"1,316",0,0,0,0
ADL,BNE,2014,7,"67,506",548,78.8,"1,622","109,494,732","138,867,530","85,615",67464.62
ADL,BNE,2014,8,"63,663",541,74.5,"1,622","103,261,386","138,556,106","85,423",63640.135
ADL,BNE,2014,9,"64,779",539,76.1,"1,622","105,071,538","138,067,884","85,122",64777.842
ADL,BNE,2014,10,"76,658",566,85.1,"1,622","124,339,276","146,155,176","90,108",76681.908
ADL,BNE,2014,11,"64,679",526,77.2,"1,622","104,909,338","135,964,150","83,825",64712.9
ADL,BNE,2014,12,"70,936",558,79.9,"1,622","115,058,192","144,087,126","88,833",70977.567
ADL,BNE,2015,1,"66,186",551,75.6,"1,622","107,353,692","142,058,004","87,582",66211.992
ADL,BNE,2015,2,"54,442",497,69,"1,622","88,304,924","127,914,164","78,862",54414.78
ADL,BNE,2015,3,"66,110",561,74.3,"1,622","107,230,420","144,401,794","89,027",66147.061
ADL,BNE,2015,4,"67,744",540,79.4,"1,622","109,880,768","138,307,940","85,270",67704.38
ADL,BNE,2015,5,"62,590",531,75.4,"1,622","101,520,980","134,619,512","82,996",62578.984
ADL,BNE,2015,6,"57,223",522,70,"1,622","92,815,706","132,583,902","81,741",57218.7
ADL,BNE,2015,7,"71,073",570,78.7,"1,622","115,280,406","146,404,964","90,262",71036.194
ADL,BNE,2015,8,"64,036",555,73,"1,622","103,866,392","142,255,888","87,704",64023.92
ADL,BNE,2015,9,"64,993",541,76.2,"1,622","105,418,646","138,280,366","85,253",64962.786
ADL,BNE,2015,10,"74,577",565,82.6,"1,622","120,963,894","146,370,902","90,241",74539.066
ADL,BNE,2015,11,"70,470",586,74.4,"1,622","114,302,340","153,582,314","94,687",70447.128
ADL,BNE,2015,12,"73,366",603,76.4,"1,622","118,999,652","155,793,100","96,050",73382.2
ADL,BNE,2016,1,"69,280",588,73.1,"1,622","112,372,160","153,751,002","94,791",69292.221
ADL,BNE,2016,2,"59,094",561,65.8,"1,622","95,850,468","145,686,418","89,819",59100.902
ADL,BNE,2016,3,"71,282",591,74.9,"1,622","115,619,404","154,461,438","95,229",71326.521
ADL,BNE,2016,4,"70,036",555,76.7,"1,622","113,598,392","148,127,528","91,324",70045.508
ADL,BNE,2016,5,"64,522",530,74.8,"1,622","104,654,684","139,944,538","86,279",64536.692
ADL,BNE,2016,6,"61,146",503,73.6,"1,622","99,178,812","134,687,636","83,038",61115.968
ADL,BNE,2016,7,"76,164",571,80.5,"1,622","123,538,008","153,460,664","94,612",76162.66
ADL,BNE,2016,8,"67,351",572,71.4,"1,622","109,243,322","153,029,212","94,346",67363.044
ADL,BNE,2016,9,"69,611",560,75.2,"1,622","112,909,042","150,129,076","92,558",69603.616
ADL,BNE,2016,10,"78,048",588,79.4,"1,622","126,593,856","159,371,232","98,256",78015.264
ADL,BNE,2016,11,"71,132",587,74.9,"1,622","115,376,104","154,026,742","94,961",71125.789
ADL,BNE,2016,12,"72,669",578,77.9,"1,622","117,869,118","151,280,696","93,268",72655.772
ADL,BNE,2017,1,"71,293",545,78.8,"1,622","115,637,246","146,766,670","90,485",71302.18
ADL,BNE,2017,2,"56,910",502,69.2,"1,622","92,308,020","133,355,974","82,217",56894.164
ADL,BNE,2017,3,"70,159",596,72.1,"1,622","113,797,898","157,807,624","97,292",70147.532
ADL,BNE,2017,4,"70,941",560,76.6,"1,622","115,066,302","150,221,530","92,615",70943.09
ADL,BNE,2017,5,"65,730",535,75.7,"1,622","106,614,060","140,890,164","86,862",65754.534
ADL,BNE,2017,6,"60,995",516,72.4,"1,622","98,933,890","136,658,366","84,253",60999.172
ADL,BNE,2017,7,"75,671",565,80.9,"1,622","122,738,362","151,718,636","93,538",75672.242
ADL,BNE,2017,8,"67,865",559,74.5,"1,622","110,077,030","147,765,822","91,101",67870.245
ADL,BNE,2017,9,"73,234",558,79.2,"1,622","118,785,548","149,929,570","92,435",73208.52
ADL,BNE,2017,10,"82,342",595,82.6,"1,622","133,558,724","161,674,472","99,676",82332.376
ADL,BNE,2017,11,"74,974",582,76.8,"1,622","121,607,828","158,282,870","97,585",74945.28
ADL,BNE,2017,12,"79,529",597,78.8,"1,622","128,996,038","163,661,422","100,901",79509.988
ADL,BNE,2018,1,"72,115",565,75.6,"1,622","116,970,530","154,767,996","95,418",72136.008
ADL,BNE,2018,2,"60,637",505,71.2,"1,622","98,353,214","138,054,908","85,114",60601.168
ADL,BNE,2018,3,"70,464",576,73.2,"1,622","114,292,608","156,085,060","96,230",70440.36
ADL,BNE,2018,4,"70,660",558,78.9,"1,622","114,610,520","145,342,554","89,607",70699.923
ADL,BNE,2018,5,"66,394",527,78.1,"1,622","107,691,068","137,866,756","84,998",66383.438
ADL,BNE,2018,6,"62,959",530,73.5,"1,622","102,119,498","138,896,726","85,633",62940.255
ADL,BNE,2018,7,"76,471",587,81.2,"1,622","124,035,962","152,837,816","94,228",76513.136
ADL,BNE,2018,8,"69,806",565,77.1,"1,622","113,225,332","146,880,210","90,555",69817.905
ADL,BNE,2018,9,"70,135",553,79.1,"1,622","113,758,970","143,748,128","88,624",70101.584
ADL,BNE,2018,10,"78,533",599,82.7,"1,622","127,380,526","153,984,570","94,935",78511.245
ADL,BNE,2018,11,"74,289",554,85,"1,622","120,496,758","141,800,106","87,423",74309.55
ADL,BNE,2018,12,"74,053",550,82.9,"1,622","120,113,966","144,959,762","89,371",74088.559
ADL,BNE,2019,1,"71,227",585,75.3,"1,622","115,530,194","153,470,396","94,618",71247.354
ADL,BNE,2019,2,"57,987",489,72.5,"1,622","94,054,914","129,712,962","79,971",57978.975
ADL,BNE,2019,3,"69,034",539,78.1,"1,622","111,973,148","143,311,810","88,355",69005.255
ADL,BNE,2019,4,"74,831",534,80.4,"1,622","121,375,882","150,946,564","93,062",74821.848
ADL,BNE,2019,5,"69,620",540,73.8,"1,622","112,923,640","153,029,212","94,346",69627.348
ADL,BNE,2019,6,"64,411",513,72,"1,622","104,474,642","145,113,852","89,466",64415.52
ADL,BNE,2019,7,"78,957",545,82.6,"1,622","128,068,254","155,134,568","95,644",79001.944
ADL,BNE,2019,8,"73,765",537,79.2,"1,622","119,646,830","151,021,176","93,108",73741.536
ADL,BNE,2019,9,"75,747",539,80.1,"1,622","122,861,634","153,353,612","94,546",75731.346
ADL,BNE,2019,10,"86,017",575,86.2,"1,622","139,519,574","161,908,040","99,820",86044.84
ADL,BNE,2019,11,"75,534",537,81.5,"1,622","122,516,148","150,271,812","92,646",75506.49
ADL,BNE,2019,12,"78,176",559,80.6,"1,622","126,801,472","157,369,684","97,022",78199.732
ADL,BNE,2020,1,"75,173",545,78.8,"1,622","121,930,606","154,699,872","95,376",75156.288
ADL,BNE,2020,2,"60,687",496,70.3,"1,622","98,434,314","140,025,638","86,329",60689.287
ADL,BNE,2020,3,"45,456",422,62.3,"1,622","73,729,632","118,256,776","72,908",45421.684
ADL,BNE,2020,5,0,0,0,"1,622",0,0,0,0
ADL,BNE,2020,7,"18,226",140,86.6,"1,622","29,562,572","34,141,478","21,049",18228.434
ADL,BNE,2020,8,"27,220",270,60.6,"1,622","44,150,840","72,866,728","44,924",27223.944
ADL,CBR,2014,7,"13,659",180,59.4,972,"13,276,548","22,340,448","22,984",13652.496
ADL,CBR,2014,8,"14,411",180,61.3,972,"14,007,492","22,853,664","23,512",14412.856
ADL,CBR,2014,9,"15,303",183,63.7,972,"14,874,516","23,349,384","24,022",15302.014
ADL,CBR,2014,10,"16,937",186,69.2,972,"16,462,764","23,776,092","24,461",16927.012
ADL,CBR,2014,11,"15,441",174,68.7,972,"15,008,652","21,858,336","22,488",15449.256
ADL,CBR,2014,12,"14,836",168,70.1,972,"14,420,592","20,561,688","21,154",14828.954
ADL,CBR,2015,1,"10,855",140,65.1,972,"10,551,060","16,216,848","16,684",10861.284
ADL,CBR,2015,2,"13,672",168,62.6,972,"13,289,184","21,244,032","21,856",13681.856
ADL,CBR,2015,3,"16,499",175,72.5,972,"16,037,028","22,129,524","22,767",16506.075
ADL,CBR,2015,4,"14,251",139,72.5,972,"13,851,972","19,103,688","19,654",14249.15
ADL,CBR,2015,5,"13,965",143,67.5,972,"13,573,980","20,104,848","20,684",13961.7
ADL,CBR,2015,6,"13,849",146,66.3,972,"13,461,228","20,304,108","20,889",13849.407
ADL,CBR,2015,7,"14,120",151,65,972,"13,724,640","21,121,560","21,730",14124.5
ADL,CBR,2015,8,"13,941",147,65.8,972,"13,550,652","20,592,792","21,186",13940.388
ADL,CBR,2015,9,"14,857",148,70,972,"14,441,004","20,629,728","21,224",14856.8
ADL,CBR,2015,10,"14,803",148,69.2,972,"14,388,516","20,798,856","21,398",14807.416
ADL,CBR,2015,11,"15,263",146,72.4,972,"14,835,636","20,501,424","21,092",15270.608
ADL,CBR,2015,12,"13,923",147,66.4,972,"13,533,156","20,389,644","20,977",13928.728
ADL,CBR,2016,1,"10,363",122,61,972,"10,072,836","16,507,476","16,983",10359.63
ADL,CBR,2016,2,"13,337",142,64.9,972,"12,963,564","19,960,992","20,536",13327.864
ADL,CBR,2016,3,"16,394",153,73.7,972,"15,934,968","21,629,916","22,253",16400.461
ADL,CBR,2016,4,"14,739",144,68.3,972,"14,326,308","20,977,704","21,582",14740.506
ADL,CBR,2016,5,"14,102",138,70.5,972,"13,707,144","19,432,224","19,992",14094.36
ADL,CBR,2016,6,"13,691",129,72,972,"13,307,652","18,483,552","19,016",13691.52
ADL,CBR,2016,7,"13,205",139,64.9,972,"12,835,260","19,787,004","20,357",13211.693
ADL,CBR,2016,8,"14,992",157,62.6,972,"14,572,224","23,296,896","23,968",15003.968
ADL,CBR,2016,9,"15,933",151,70.7,972,"15,486,876","21,893,328","22,524",15924.468
ADL,CBR,2016,10,"15,416",150,68.2,972,"14,984,352","21,959,424","22,592",15407.744
ADL,CBR,2016,11,"17,117",152,72,972,"16,637,724","23,113,188","23,779",17120.88
ADL,CBR,2016,12,"14,757",142,66.7,972,"14,343,804","21,512,304","22,132",14762.044
ADL,CBR,2017,1,"11,594",124,62.8,972,"11,269,368","17,931,456","18,448",11585.344
ADL,CBR,2017,2,"13,293",142,60.5,972,"12,920,796","21,341,232","21,956",13283.38
ADL,CBR,2017,3,"16,457",157,65.5,972,"15,996,204","24,431,220","25,135",16463.425
ADL,CBR,2017,4,"14,537",128,68.7,972,"14,129,964","20,571,408","21,164",14539.668
ADL,CBR,2017,5,"13,819",136,59.9,972,"13,432,068","22,441,536","23,088",13829.712
ADL,CBR,2017,6,"14,131",134,62.8,972,"13,735,332","21,860,280","22,490",14123.72
ADL,CBR,2017,7,"15,135",150,60.1,972,"14,711,220","24,496,344","25,202",15146.402
ADL,CBR,2017,8,"15,562",156,58.6,972,"15,126,264","25,824,096","26,568",15568.848
ADL,CBR,2017,9,"16,283",145,65.9,972,"15,827,076","24,015,204","24,707",16281.913
ADL,CBR,2017,10,"17,365",156,65.8,972,"16,878,780","25,654,968","26,394",17367.252
ADL,CBR,2017,11,"18,040",153,69.7,972,"17,534,880","25,149,528","25,874",18034.178
ADL,CBR,2017,12,"15,360",134,68.1,972,"14,929,920","21,926,376","22,558",15361.998
ADL,CBR,2018,1,"12,333",122,60.3,972,"11,987,676","19,872,540","20,445",12328.335
ADL,CBR,2018,2,"14,467",140,60.9,972,"14,061,924","23,100,552","23,766",14473.494
ADL,CBR,2018,3,"17,575",150,69.4,972,"17,082,900","24,616,872","25,326",17576.244
ADL,CBR,2018,4,"16,137",132,72.5,972,"15,685,164","21,627,972","22,251",16131.975
ADL,CBR,2018,5,"16,737",144,69,972,"16,268,364","23,563,224","24,242",16726.98
ADL,CBR,2018,6,"15,209",132,68.4,972,"14,783,148","21,627,972","22,251",15219.684
ADL,CBR,2018,7,"16,160",140,68.4,972,"15,707,520","22,976,136","23,638",16168.392
ADL,CBR,2018,8,"17,654",160,65,972,"17,159,688","26,383,968","27,144",17643.6
ADL,CBR,2018,9,"17,909",153,71.5,972,"17,407,548","24,333,048","25,034",17899.31
ADL,CBR,2018,10,"18,437",160,68.8,972,"17,920,764","26,043,768","26,794",18434.272
ADL,CBR,2018,11,"17,605",142,74.5,972,"17,112,060","22,979,052","23,641",17612.545
ADL,CBR,2018,12,"14,962",134,68.4,972,"14,543,064","21,276,108","21,889",14972.076
ADL,CBR,2019,1,"11,865",122,58.6,972,"11,532,780","19,669,392","20,236",11858.296
ADL,CBR,2019,2,"14,263",136,62.8,972,"13,863,636","22,060,512","22,696",14253.088
