Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,,Month_ID
ADELAIDE,JAN,288047.6,291281,52736.6,43844.4,,1
ADELAIDE,FEB,268721,261981.8,39499.6,31778.2,,2
ADELAIDE,MAR,308351.2,308124,35611.6,37323.4,,3
ADELAIDE,APR,300934.2,305107.4,35225,40223.4,,4
ADELAIDE,MAY,285370.6,286202.4,33842.2,38919,,5
ADELAIDE,JUN,270961.6,268488.8,35054.8,41646.4,,6
ADELAIDE,JUL,308821.2,313117.4,47694,43122.4,,7
ADELAIDE,AUG,293901,290031,42090.2,41771.4,,8
ADELAIDE,SEP,295857.8,295057.2,44116.6,43006.8,,9
ADELAIDE,OCT,327138.8,324218.6,47680,37133.6,,10
ADELAIDE,NOV,311134.6,310034,37454.4,37639.8,,11
ADELAIDE,DEC,308524.2,309123.6,42675.6,52529.6,,12
BRISBANE,JAN,671794.6,689164.6,285082.8,242490,,1
BRISBANE,FEB,613675.8,616982.4,221788.8,201305,,2
BRISBANE,MAR,712469.4,708549,221312.8,228426.6,,3
BRISBANE,APR,704454.8,703621,230310.8,235322.2,,4
BRISBANE,MAY,693209.8,686922.2,210240.4,219911,,5
BRISBANE,JUN,683491,683351.6,217120,243558.8,,6
BRISBANE,JUL,788636.6,775477,278995.6,240744.8,,7
BRISBANE,AUG,734837,734874.2,240366.6,258890.6,,8
BRISBANE,SEP,747060.4,736007.8,244722.2,252418,,9
BRISBANE,OCT,769148.6,782579,266814.8,238096,,10
BRISBANE,NOV,732625.6,737740,224850.8,237235.6,,11
BRISBANE,DEC,759018.8,733793.4,256504.6,294572.2,,12
CAIRNS,JAN,167758.8,181439.4,30071.4,26889.8,,1
CAIRNS,FEB,141975.4,147113.4,27675.2,25722,,2
CAIRNS,MAR,155625,153241,25858.6,27898.2,,3
CAIRNS,APR,167828.2,171067.8,24012.2,25134.8,,4
CAIRNS,MAY,154177.6,154925.4,19632,22794.6,,5
CAIRNS,JUN,171144.6,159270.2,20884.4,22631.6,,6
CAIRNS,JUL,203965.6,208337.4,30690,25643,,7
CAIRNS,AUG,189031.2,195655.6,30266.6,34551.4,,8
CAIRNS,SEP,186159.4,178526.2,26500.8,27965.6,,9
CAIRNS,OCT,188239.2,198064.4,27692.6,25649.6,,10
CAIRNS,NOV,169597.6,172428.6,22882.2,24312,,11
CAIRNS,DEC,183762.6,174954.4,27343,30213.2,,12
CANBERRA,JAN,100613.8,90300,2646.6,2112.4,,1
CANBERRA,FEB,114505.4,111004,1987,1700.8,,2
