Month,AustralianPort,ForeignPort,Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Passengers_Total,Freight_Total_(tonnes),Mail_Total_(tonnes),Year,Month_num
1/01/2018,Adelaide,Auckland,New Zealand,4444,34.662,0,4369,37.185,0,8813,71.847,0,2018,1
1/01/2018,Adelaide,Denpasar,Indonesia,10211,0.822,0,8570,0.095,0,18781,0.917,0,2018,1
1/01/2018,Adelaide,Doha,Qatar,7789,261.936,0.002,5569,400.239,0.004,13358,662.175,0.006,2018,1
1/01/2018,Adelaide,Dubai,United Arab Emirates,10190,196.712,0,8146,195.579,0,18336,392.291,0,2018,1
1/01/2018,Adelaide,Guangzhou,China,4269,41.066,0,3307,177.641,0,7576,218.707,0,2018,1
1/01/2018,Adelaide,Hong Kong,Hong Kong (SAR),5036,139.39,0,3645,242.306,0,8681,381.696,0,2018,1
1/01/2018,Adelaide,Kuala Lumpur,Malaysia,4503,73.162,0,3537,96.807,0,8040,169.969,0,2018,1
1/01/2018,Adelaide,Nadi,Fiji,1028,4.55,0,780,0,0,1808,4.55,0,2018,1
1/01/2018,Adelaide,Singapore,Singapore,10942,245.332,0,9249,261.701,0,20191,507.033,0,2018,1
1/01/2018,Brisbane,Abu Dhabi,United Arab Emirates,8444,84.043,0,6813,147.516,0,15257,231.559,0,2018,1
1/01/2018,Brisbane,Apia,Western Samoa,950,0.04,0,872,0.195,0,1822,0.235,0,2018,1
1/01/2018,Brisbane,Auckland,New Zealand,48807,799.842,17.734,46052,475.814,20.587,94859,1275.656,38.321,2018,1
1/01/2018,Brisbane,Bangkok,Thailand,7088,167.51,5.416,6030,348.473,0,13118,515.983,5.416,2018,1
1/01/2018,Brisbane,Beijing,China,3464,86.137,0,2227,171.877,0,5691,258.014,0,2018,1
1/01/2018,Brisbane,Christchurch,New Zealand,12378,26.095,0,12313,25.145,0,24691,51.24,0,2018,1
1/01/2018,Brisbane,Denpasar,Indonesia,13563,49.303,0,11823,2.533,0.084,25386,51.836,0.084,2018,1
1/01/2018,Brisbane,Dubai,United Arab Emirates,26404,451.969,7.861,19198,485.291,16.798,45602,937.26,24.659,2018,1
1/01/2018,Brisbane,Dunedin,New Zealand,2050,0,0,1683,0,0,3733,0,0,2018,1
1/01/2018,Brisbane,Espiritu Santo,Vanuatu,459,0,0,432,1.799,0,891,1.799,0,2018,1
1/01/2018,Brisbane,Guangzhou,China,7533,157.442,5.663,6021,262.614,0,13554,420.056,5.663,2018,1
1/01/2018,Brisbane,Hong Kong,Hong Kong (SAR),20205,515.54,8.586,14728,757.675,6.735,34933,1273.215,15.321,2018,1
1/01/2018,Brisbane,Honiara,Solomon Islands,2087,6.895,0,1943,48.649,0,4030,55.544,0,2018,1
1/01/2018,Brisbane,Honolulu,USA,3709,40.979,0,3188,50.358,0,6897,91.337,0,2018,1
1/01/2018,Brisbane,Kuala Lumpur,Malaysia,1126,0,0,721,0,0,1847,0,0,2018,1
1/01/2018,Brisbane,Los Angeles,USA,17810,236.917,7.33,14130,243.538,40.348,31940,480.455,47.678,2018,1
1/01/2018,Brisbane,Manila,Philippines,2122,1.87,0,1865,0.911,0,3987,2.781,0,2018,1
1/01/2018,Brisbane,Nadi,Fiji,10441,34.034,0,7640,23.322,0.442,18081,57.356,0.442,2018,1
1/01/2018,Brisbane,Nauru,Nauru,796,4.302,0.174,1174,92.344,1.264,1970,96.646,1.438,2018,1
1/01/2018,Brisbane,Noumea,New Caledonia,3347,0.531,0,3070,10.959,0.138,6417,11.49,0.138,2018,1
1/01/2018,Brisbane,Port Moresby,Papua New Guinea,6959,47.272,0,7855,205.508,3.979,14814,252.78,3.979,2018,1
1/01/2018,Brisbane,Port Vila,Vanuatu,4190,2.569,0.034,3198,18.858,0.579,7388,21.427,0.613,2018,1
1/01/2018,Brisbane,Queenstown,New Zealand,3217,0,0,3099,0,0,6316,0,0,2018,1
1/01/2018,Brisbane,Seoul,Korea,7800,129.249,16.084,6409,80.894,0.499,14209,210.143,16.583,2018,1
1/01/2018,Brisbane,Shanghai,China,6052,110.414,0,3734,178.75,0,9786,289.164,0,2018,1
1/01/2018,Brisbane,Shenzhen,China,1686,83.116,0,940,52.451,0,2626,135.567,0,2018,1
1/01/2018,Brisbane,Singapore,Singapore,39640,1036.169,47.758,32601,2084.167,9.848,72241,3120.336,57.606,2018,1
1/01/2018,Brisbane,Taipei,Taiwan,10732,143.806,3.488,8498,373.649,0,19230,517.455,3.488,2018,1
1/01/2018,Brisbane,Tokyo,Japan,8077,103.621,7.048,7633,71.099,15.059,15710,174.72,22.107,2018,1
1/01/2018,Brisbane,Vancouver,Canada,7159,71.51,0,5639,112.099,2.506,12798,183.609,2.506,2018,1
1/01/2018,Brisbane,Wellington,New Zealand,7784,0,0,7437,0,0,15221,0,0,2018,1
1/01/2018,Cairns,Denpasar,Indonesia,2636,0,0,2494,0,0,5130,0,0,2018,1
1/01/2018,Cairns,Guangzhou,China,2862,0.235,0,1677,28.954,0,4539,29.189,0,2018,1
1/01/2018,Cairns,Hong Kong,Hong Kong (SAR),2781,17.59,0,3537,154.963,0,6318,172.553,0,2018,1
1/01/2018,Cairns,Osaka,Japan,8249,1.65,0,6274,0.752,1.741,14523,2.402,1.741,2018,1
1/01/2018,Cairns,Port Moresby,Papua New Guinea,2761,8.66,0,2987,8.154,0,5748,16.814,0,2018,1
1/01/2018,Cairns,Seoul,Korea,2561,0,0,2252,5.525,0,4813,5.525,0,2018,1
1/01/2018,Cairns,Shenzhen,China,644,0,0,622,0,0,1266,0,0,2018,1
